Area,Year,Population,Violent crime,Violent crime rate per 100k,"Murder and 
nonnegligent 
manslaughter","Murder and 
nonnegligent 
manslaughter rate per 100k",Rape,Rape rate per 100k,Robbery,Robbery rate per 100k,Aggravated assault,Aggravated assault rate per 100k,Property crime,Property crime rate per 100k,Burglary,Burglary rate per 100k,Larceny-theft,Larceny-theft rate per 100k,Motor vehicle theft,Motor vehicle theft rate per 100k
United States total,2016,"323,127,513","1,283,058",397.1 ,"17,250",5.3 ,"130,603",40.4 ,"332,198",102.8 ,"803,007",248.5 ,"7,919,035","2,450.7 ","1,515,096",468.9 ,"5,638,455","1,745.0 ","765,484",236.9 
Northeast,2016,"56,209,510","178,244",317.1 ,"1,955",3.5 ,"16,651",29.6 ,"53,033",94.3 ,"106,605",189.7 ,"909,897","1,618.8 ","142,720",253.9 ,"709,721","1,262.6 ","57,456",102.2 
New England,2016,"14,735,525"," 	41,598 ",282.3 , 	292 ,2.0 ," 	4,505 ",30.6 ," 	9,407 ",63.8 ," 	27,394 ",185.9 ," 	243,769 ","1,654.3 "," 	42,095 ",285.7 ," 	182,985 ","1,241.8 "," 	18,689 ",126.8 
Connecticut,2016,"3,576,452"," 	8,123 ",227.1 , 	78 ,2.2 , 	763 ,21.3 ," 	2,703 ",75.6 ," 	4,579 ",128.0 ," 	64,664 ","1,808.0 "," 	10,045 ",280.9 ," 	47,512 ","1,328.5 "," 	7,107 ",198.7 
Maine,2016,"1,331,479"," 	1,648 ",123.8 , 	20 ,1.5 , 	412 ,30.9 , 	266 ,20.0 , 	950 ,71.3 ," 	21,912 ","1,645.7 "," 	4,003 ",300.6 ," 	17,134 ","1,286.8 ", 	775 ,58.2 
Massachusetts,2016,"6,811,779"," 	25,677 ",376.9 , 	134 ,2.0 ," 	2,128 ",31.2 ," 	5,365 ",78.8 ," 	18,050 ",265.0 ," 	106,339 ","1,561.1 "," 	19,193 ",281.8 ," 	79,088 ","1,161.0 "," 	8,058 ",118.3 
New Hampshire,2016,"1,334,795"," 	2,637 ",197.6 , 	17 ,1.3 , 	582 ,43.6 , 	427 ,32.0 ," 	1,611 ",120.7 ," 	20,194 ","1,512.9 "," 	2,963 ",222.0 ," 	16,360 ","1,225.7 ", 	871 ,65.3 
Rhode Island,2016,"1,056,426"," 	2,524 ",238.9 , 	29 ,2.7 , 	442 ,41.8 , 	540 ,51.1 ," 	1,513 ",143.2 ," 	20,058 ","1,898.7 "," 	3,788 ",358.6 ," 	14,674 ","1,389.0 "," 	1,596 ",151.1 
Vermont,2016,"624,594", 	989 ,158.3 , 	14 ,2.2 , 	178 ,28.5 , 	106 ,17.0 , 	691 ,110.6 ," 	10,602 ","1,697.4 "," 	2,103 ",336.7 ," 	8,217 ","1,315.6 ", 	282 ,45.1 
Middle Atlantic,2016,"41,473,985"," 	136,646 ",329.5 ," 	1,663 ",4.0 ," 	12,146 ",29.3 ," 	43,626 ",105.2 ," 	79,211 ",191.0 ," 	666,128 ","1,606.1 "," 	100,625 ",242.6 ," 	526,736 ","1,270.0 "," 	38,767 ",93.5 
New Jersey,2016,"8,944,469"," 	21,914 ",245.0 , 	372 ,4.2 ," 	1,453 ",16.2 ," 	8,984 ",100.4 ," 	11,105 ",124.2 ," 	138,152 ","1,544.6 "," 	25,284 ",282.7 ," 	101,540 ","1,135.2 "," 	11,328 ",126.6 
New York,2016,"19,745,289"," 	74,285 ",376.2 , 	630 ,3.2 ," 	6,260 ",31.7 ," 	22,316 ",113.0 ," 	45,079 ",228.3 ," 	305,181 ","1,545.6 "," 	39,821 ",201.7 ," 	250,968 ","1,271.0 "," 	14,392 ",72.9 
Pennsylvania,2016,"12,784,227"," 	40,447 ",316.4 , 	661 ,5.2 ," 	4,433 ",34.7 ," 	12,326 ",96.4 ," 	23,027 ",180.1 ," 	222,795 ","1,742.7 "," 	35,520 ",277.8 ," 	174,228 ","1,362.8 "," 	13,047 ",102.1 
Midwest,2016,"67,941,429"," 	257,109 ",378.4 ," 	3,885 ",5.7 ," 	31,408 ",46.2 ," 	64,022 ",94.2 ," 	157,794 ",232.3 ," 	1,544,531 ","2,273.3 "," 	300,359 ",442.1 ," 	1,112,596 ","1,637.6 "," 	131,576 ",193.7 
East North Central,2016,"46,755,973"," 	180,827 ",386.7 ," 	2,974 ",6.4 ," 	22,102 ",47.3 ," 	49,506 ",105.9 ," 	106,245 ",227.2 ," 	1,034,762 ","2,213.1 "," 	207,962 ",444.8 ," 	742,358 ","1,587.7 "," 	84,442 ",180.6 
Illinois,2016,"12,801,539"," 	55,854 ",436.3 ," 	1,054 ",8.2 ," 	4,908 ",38.3 ," 	17,827 ",139.3 ," 	32,065 ",250.5 ," 	262,306 ","2,049.0 "," 	47,989 ",374.9 ," 	194,407 ","1,518.6 "," 	19,910 ",155.5 
Indiana,2016,"6,633,053"," 	26,845 ",404.7 , 	439 ,6.6 ," 	2,501 ",37.7 ," 	7,330 ",110.5 ," 	16,575 ",249.9 ," 	171,759 ","2,589.4 "," 	34,097 ",514.0 ," 	122,931 ","1,853.3 "," 	14,731 ",222.1 
Michigan,2016,"9,928,300"," 	45,572 ",459.0 , 	598 ,6.0 ," 	7,125 ",71.8 ," 	7,120 ",71.7 ," 	30,729 ",309.5 ," 	189,620 ","1,909.9 "," 	39,568 ",398.5 ," 	129,876 ","1,308.1 "," 	20,176 ",203.2 
Ohio,2016,"11,614,373"," 	34,877 ",300.3 , 	654 ,5.6 ," 	5,589 ",48.1 ," 	12,523 ",107.8 ," 	16,111 ",138.7 ," 	299,357 ","2,577.5 "," 	66,883 ",575.9 ," 	212,807 ","1,832.3 "," 	19,667 ",169.3 
Wisconsin,2016,"5,778,708"," 	17,679 ",305.9 , 	229 ,4.0 ," 	1,979 ",34.2 ," 	4,706 ",81.4 ," 	10,765 ",186.3 ," 	111,720 ","1,933.3 "," 	19,425 ",336.1 ," 	82,337 ","1,424.8 "," 	9,958 ",172.3 
West North Central,2016,"21,185,456"," 	76,282 ",360.1 , 	911 ,4.3 ," 	9,306 ",43.9 ," 	14,516 ",68.5 ," 	51,549 ",243.3 ," 	509,769 ","2,406.2 "," 	92,397 ",436.1 ," 	370,238 ","1,747.6 "," 	47,134 ",222.5 
Iowa,2016,"3,134,693"," 	9,110 ",290.6 , 	71 ,2.3 ," 	1,247 ",39.8 ," 	1,148 ",36.6 ," 	6,644 ",212.0 ," 	65,391 ","2,086.0 "," 	15,030 ",479.5 ," 	45,378 ","1,447.6 "," 	4,983 ",159.0 
